empresa,pais,logo,gerente,antecedentes
Maderera Pacífico Internacional S.R.L.,Perú,SinLogo2.png,"Vidalon Capcha Enrique (Ucayali, Perú)","Según un análisis de la ONG Environmental Investigation Agency (EIA) presentado en su informe ""El momento de la verdad"", detalló que en el 2015 el 53% de documentos presentados por Pacífico Internacional a la SUNAT contienen información falsa para la exportación ilegal de madera."
Inversiones WCA E.I.R.L.,Perú,SinLogo2.png,"Castro Amaringo William (Loreto, Perú)",Inició sus actividades en el 2003. Está involucrada junto a otras empresas por el caso Yacu Kallpa donde en uno de los cinco cargamentos exportados en el 2015 se encontraron un total de 2903.389 m3 de madera ilegal. El 14% de este embarque era propiedad de Inversiones WCA.
Corporación Forestal Claudita S.A.C.,Perú,LaOroza.jpg,"Alpaca Campos Claudio Gustavo (Madre de Dios, Perú)","Según un análisis de la ONG Environmental Investigation Agency (EIA) presentado en su informe ""El momento de la verdad"", Corporación Forestal Claudita tiene 21 Guías de Transporte Forestal (GTF) con un bajo riesgo de tener información falsa para el lavado de madera ilegal."
Miremi S.A.C.,Perú,ARBE LUMBER.jpg,"Castro Amaringo William (Loreto, Perú)","En febrero de este año, el gobierno de EE.UU, a través de una carta enviada por Robert Lighthizer, representante comercial de dicho país, pidió que se verifiquen tres envíos de madera provenientes de la amazonía peruana. Uno de los embarques pertenece a Miremi que arribó en Nueva York el año pasado. "
Desarrollo Forestal S.A.C.,Perú,MadereraVulcano.jpg,"Navarrete Rejas Hugo Javier (Loreto, Perú)",Empresa con actividades en el rubro desde 1996.
Universal Flooring S.A.C.,Perú,SinLogo2.png,Rong Kun,
Peruvian Flooring S.A.C.,Perú,SinLogo2.png,Ding Hao,"Según un análisis de la ONG Environmental Investigation Agency (EIA) presentado en su informe ""El momento de la verdad"", de las 219 guías de transporte forestal (GTF) presentadas por Peruvian Flooring a la Sunat en el 2015, ocho de ellas son de origen ilegal. Además, existe un alto riesgo que de este mismo universo, catorce GTF también contengan información falsa para la exportación de madera ilícita."
Maderera Diaisi E.I.R.L.,Perú,SinLogo2.png,"Huang - Zhen Gang (Ucayali, Perú)","Según un análisis de la ONG Environmental Investigation Agency (EIA) presentado en su informe ""El momento de la verdad"", hay ochos guías de transporte forestal (GTF) que han sido supervisadas donde se confirma que la madera exportada por Maderera Diasi en el 2015 es de origen ilegal, y hay otras cincuenta GTF del mismo año con un alto riesgo de tener origen ilícito."
Inversiones Técnicas Maderables S.A.C.,Perú,Inforhuay.jpg,"Kemish Freire Carlos Eduardo (Lima, Perú)","Según un análisis de la ONG Environmental Investigation Agency (EIA) presentado en su informe ""El momento de la verdad"", en el 2015, las 112 guías de transporte forestal (GTF) de Inversiones Técnicas Maderables presentadas a la Sunat tuvieron como destino a EEUU. De este total, cuatro de ellas tienen madera ilegal y existe en medio y alto riesgo que el 25% también lo tengan."
Inversiones La Oroza S.R.L.,Perú,MadereraRioAcre.jpg,"Ascencio Pomasunco Luis Angel (Lima, Perú)","Esta empresa tiene graves antecedentes respecto a la exportación de madera ilegal. El gobierno de EEUU bloqueó las importaciones de La Oroza en octubre de 2017. Años antes, la operación amazonas del 2015, conformada por entidades como Interpol, Sunat, Osinfor, entro otros; determinó que el 87.1% de sus exportaciones totales de este mismo año tienen origen ilegal. En el informe ""La máquina lavadora"" de Environmental Investigation Agency(EIA), Oroza Wood, empresa con los mismos dueños de Inversiones La Oroza, fue sancionada con el término de su concesión por inventar árboles en los lugares de extracción colocando ""tocones"" falsos."
Arbe Lumber S.A.C.,Perú,SinLogo2.png,"Arbe Saldaña Mario (Lima, Perú)","Según un análisis de la ONG Environmental Investigation Agency (EIA) presentado en su informe ""El momento de la verdad"", de las 38 Guias de Transporte Forestal (GTF) presentadas a la Sunat en el 2015 por Arbe Lumber, dos de ellas presentan información falsa para la exportación de madera ilegal. Además, del total de GTF, 18 tienen un mediano y alto riesgo que la madera tenga origen illícito."
Maderera Vulcano S.A.C.,Perú,SinLogo2.png,"Balarin Maurtua Guido Henry (Lima, Perú)","En el informe ""The laundry Machine"" de Environmental Investigation Agency (EIA) publicado en el 2012, Maderera Vulcano es una de las empresas que utilizó documentación falsificada para la extracción de madera ilegal. En este documento estan adjuntados varias resoluciones emitidas por Osinfor entre 2008 y 2010, donde Vulcano es sancionada por exportar madera con origen ilícito."
Coorporation Amazon Wood S.A.C.,Perú,SinLogo2.png,"Flores Flores Hugo Felix (Lima, Perú)",
Aserradero Estrella del Oriente S.A.C.,Perú,MadereraBozovich.jpg,"Huang Zhen Gang (Ucayali, Perú)",Empresa con actividades en el rubro desde 2015.
Corporación Industrial Forestal S.A.C.,Perú,SinLogo2.png,"Adam Ross Andrews (Loreto, Perú)","Involucrada en el caso Yacu Kallpa donde se comprobó que cinco embarcaciones del 2015 tenía un gran porcentaje de madera ilegal. Entre las exportadoras se encontraba Corporación Industrial Forestal. Además, según informes de Center for International Environmental Law (CIEL) y Environmental Investigation Agency (EIA), de 25 Guias de Transportes Forestal (GTF) presentadas a la Sunat en el 2015, esta empresa presentó once de ellas con información falsificada para lavar madera. "
Industria Forestal Huayruro S.A.C.,Perú,ConsorcioMaderero.jpg,"Navarro Vasquez Javier (Ucayali, Perú)","Según un análisis de la ONG Environmental Investigation Agency (EIA) presentado en su informe ""El momento de la verdad"", de las 51 Guias de Transportes Forestal (GTF) presentadas a la Sunat en el 2015, se comprobó que cuatro de estas contienen información falsa para lavar madera de origen ilegal."
Maderera Río Acre S.A.C.,Perú,SinLogo2.png,Wong Lu Vega Erasmo Jesus Rolando,Empresa con actividades en el rubro desde 2002.
Nature Wood (Peru) S.A.C.,Perú,SinLogo2.png,Xiao Hanjian,"En la investigación #DIneroLeaks, Nature Wood aparece Involucrada en un caso de de defraudación tributaria. Esta empresa y Nature America recibieron transferencias desde china en el 2008, que a su vez transfirió el dinero a otras tres empresas."
Imk Maderas S.A.C.,Perú,Grupo Maderero Amaz.jpg,"Kovac Lopez Aleksa (Lima, Perú)","Según un análisis de la ONG Environmental Investigation Agency (EIA) presentado en su informe ""El momento de la verdad""), Imk Maderas presentó 20 Guías de Transporte Forestal (GTF) en el 2015 a la Sunat. Ninguna de ellas fue supervisada por Osinfor, por ello, se corre el riesgo que el 70% de estos GTF presenten información falsa."
Sutay Company S.R.L.,Perú,SinLogo2.png,"Tay Yan Tu (Ucayali, Perú)","Según un análisis de la ONG Environmental Investigation Agency (EIA) presentado en su informe ""El momento de la verdad"", en el 2015, casi la mitad de los documentos remitidos a la Sunat por esta empresa contienen información falsificada con el objetivo de lavar madera ilegal."
Maderera Bozovich S.A.C.,Perú,MadereraBozovich.jpg,"Bozovich Noriega Ivo (Lima, Perú)","Una de las más grandes exportadoras de madera en el Perú. Según la ONG de lucha contra la deforestación y la tala ilegal, Environmental Investigation Agency (EIA), Bozovich tiene la mayor cantidad de embarques madereros con posible origen ilegal.
EIA detectó que el 45% de estas fuentes del recurso forestal estan en la lista roja de Osinfor, es decir, se ha comprobado que el origen de su madera exportada tiene origen ilegal. 
Drago e Ivo Bozovich, dueños de la maderera, aparecen en los Panama Papers. Crearon 10 compañias offshore."
Consorcio Forestal Amazónico S.A.C.,Perú,SinLogo2.png,Safiano Cosidoy Miguel Alejandro,
Consorcio Maderero S.A.C.,Perú,ConsorcioMaderero.jpg,"Guzman Chavez Leovigildo (San Martín, Perú)","Según un análisis de la ONG Environmental Investigation Agency (EIA) presentado en su informe ""El momento de la verdad"", de los 97 documentos recopilados por la SUNAT, el 18% han sido falsificados y el 77% tienen un alto riesgo de contener información falsa."
E & J Matthei Maderas del Peru S.A.,Perú,SinLogo2.png,Budge Roca Jorge Luis Valentin,Empresa con actividades en el rubro desde 2001.
A & A Perú S.A.C.,Perú,SinLogo2.png,"Ji Wu Xiaodong (Lima, Perú)","En la investgación #DineroLeaks, se reveló que Xiadong Ji Wu, exgerente general de la extinta empresa A & A Perú S.A.C, estuvo involucrado en un caso de defraudación tributaria con Nature Wood el 2008."
Grupo Maderero Amaz S.A.C.,Perú,Grupo Maderero Amaz.jpg,Ding Lumin,Empresa peruana enfocada en la producción de pisos ecológicos de madera dura de especies exóticas con actividades desde 2016.
Lumberind S.A.,Ecuador,,,
Fernando Lourenco Cardoso,Bolivia,,,
Balsa De Colombia Ltda,Colombia,,,
Multimaderas de Colombia S.A.S.,Colombia,,,
Industria Forestal Cimal Imr S.A.,Bolivia,,,
Maderas Soluciones Limitada,Colombia,,,
Nirmala International S.A.,Ecuador,,,
Guritbalsaflex Cia. Ltda.,Ecuador,,,
Madeteca Sociedad por Acciones Simplificadas S.A.S.,Colombia,,,
Aviles Fuentes Martha Francisca,Ecuador,,,
Exomad S.R.L.,Bolivia,,,
Sociedad De Comercializacion Internacional Alianza De Mercad,Colombia,,,
Indumad Industria Maderera S.A.,Ecuador,,,
Exotic Forest Company C.I. S.A.S.,Colombia,,,
Tablemac S.A.,Colombia,,,
S.N.B. Export S.A.,Ecuador,,,
Arauz & Long Import Export S.R.L.,Bolivia,,,
Comercializadora Internacional Abarcol S.A. En Restructuraci,Colombia,,,
Minby S.A.,Ecuador,,,
Tom Indus. Y Com. De Maderas S.R.L.,Bolivia,,,
Iroko Cia. Ltda.,Ecuador,,,
"Cobalsa, Compañía Industrial De Balsa S.A.",Ecuador,,,
Ultimate Design S.R.L.,Bolivia,,,
Zea Reyes William Andres,Colombia,,,
Delegacion Ecuatoriana De Balsaflex España Del.E.B.Es. Cia. Ltda.,Ecuador,,,
Balsaprime International Company S.A.,Ecuador,,,
C.I. Distripuertas S.A.S.,Colombia,,,
Timbex S.A.S.,Colombia,,,
Medardo Gutierrez Roca,Bolivia,,,
Agroindustria Panamericana De Maderas S.A.S.,Colombia,,,
Diab Ecuador S.A. Divinycell,Ecuador,,,
Elaboradora Balsera Germano Ecuatoriana C.A. Ebagec,Ecuador,,,
Reforestadora de La Costa S.A.,Colombia,,,
Fábrica De Elaborados de Madera Cia.Ltda. Fadelma,Ecuador,,,
Outspan Colombia S.A.S.,Colombia,,,
Comercializadora Internacional Proteak Colombia S.A.S.,Colombia,,,
Mandemadera International Ltda.,Bolivia,,,
Comercializadora Internacional Megatrading Ltda,Colombia,,,
Procesadora De Maderas Del Caribe S. A. S.,Colombia,,,
Comercializadora Internacional Expoedidacticos Limitada C.I,Colombia,,,
Arte & Stylos Sociedad Anonima,Colombia,,,
Inversiones Trifer Limitada,Colombia,,,
Lamitech S. A. S.,Colombia,,,
Amazonic Mad S.R.L.,Bolivia,,,
Inversiones Aves Maria S.A.S.,Colombia,,,
Bolexma S.R.L,Bolivia,,,
Riaño Castillo William Alberto,Colombia,,,
Aglomerados Cotopaxi S.A.,Ecuador,,,
Golden Timber Bolivia S.R.L.,Bolivia,,,
A.W. Faber-castell & T.H. Reforestation S.A.S.,Colombia,,,
Maderera Boliviana Etienne S.A.,Bolivia,,,
Madecentro Colombia S.A.,Colombia,,,
C. I. Easy Logistics S. A.,Colombia,,,
Cuberos Pinilla Raul Antonio,Colombia,,,
Dicol Ltda,Colombia,,,
International Forest Products del Ecuador S.A.,Ecuador,,,
Exportadora Valentina Ltda Comercializadora Internacional,Colombia,,,
Univercompany S.A.,Ecuador,,,
Los Cedros Hardwood Flooring S.A.S. C.I.,Colombia,,,
Dekma Bolivia S.A.,Bolivia,,,
Maderas Reyes Y/o Carmen Rosa Sierra R.,Colombia,,,
Balsera Sudamericana Balsasud S.A.,Ecuador,,,
Primework S.A.,Ecuador,,,
Aserracol S.A.S.,Colombia,,,
C.I. Casa En Madera Ltda,Colombia,,,
Camacho Salvatierra Primo,Bolivia,,,
Confecciones Salome Ltda.,Colombia,,,
Empresa Forestal SLV Bolivia S.R.L.,Bolivia,,,
Multipando,Bolivia,,,
C.I. Colombiana de Exportaciones Agropecuarias S.A.,Colombia,,,
Baltek Inc.,Ecuador,,,
Casa Ebagec Elaboradora Balser,Ecuador,,,
Bosque Sur S.R.L.,Bolivia,,,
Empresa Importadora Exportadora Pl,Bolivia,,,
Inmaia S.A.,Ecuador,,,
Novopan del Ecuador S.A.,Ecuador,,,
Roberto Arauz Nuñez,Bolivia,,,
Sepulveda Mercado Viviana,Colombia,,,
Triplex Y Maderas Alvarez S.A.S,Colombia,,,
Inter Alba S.R.L.,Bolivia,,,
Raiimpex S.A.,Ecuador,,,
Plantaciones de Balsa Plantabal S.A.,Ecuador,,,
Colombian Exotic Woods S.A.S.,Colombia,,,
Beltran Garcia Martha Yorley,Colombia,,,
Macoldex S.A.S.,Colombia,,,
Tom Industria Y Comercio De Maderas,Bolivia,,,
Outspan Ecuador S.A.,Ecuador,,,
La Riviera S . A . S .,Colombia,,,
Rent Office S A S,Colombia,,,
Proteak Tres Sucursal Colombia,Colombia,,,
Reforestaciones e Industrias Reforei S.A.,Ecuador,,,
Maderinco S.A.,Colombia,,,
